input_file,output_file,original_features,simplified_features,feature_reduction_ratio,original_constraints,simplified_constraints,constraint_reduction_ratio,removed_core_features,removed_dead_features,removed_atomic_set_features,full_reduction
dataset_20/uvl/model_20100624_2076952989.uvl,dataset_20/uvl/model_20100624_2076952989.uvl,17,13,0.235294,3,4,-0.333333,2,0,2,FALSE
dataset_20/uvl/model_20100625_251719781.uvl,dataset_20/uvl/model_20100625_251719781.uvl,16,16,0,0,0,0,0,0,0,FALSE
dataset_20/uvl/model_20100712_329430908.uvl,dataset_20/uvl/model_20100712_329430908.uvl,20,11,0.45,0,0,0,9,0,0,FALSE
dataset_20/uvl/model_20100719_944437142.uvl,dataset_20/uvl/model_20100719_944437142.uvl,29,25,0.137931,6,32,-4.333333,4,0,0,FALSE
dataset_20/uvl/model_20100730_1366577700.uvl,dataset_20/uvl/model_20100730_1366577700.uvl,32,26,0.1875,5,0,1,6,0,0,TRUE
dataset_20/uvl/model_20100805_1484639410.uvl,dataset_20/uvl/model_20100805_1484639410.uvl,31,16,0.483871,4,4,0,15,0,0,FALSE
dataset_20/uvl/model_20100822_281357717.uvl,dataset_20/uvl/model_20100822_281357717.uvl,15,14,0.066667,5,10,-1,1,0,0,FALSE
dataset_20/uvl/model_20100824_837146809.uvl,dataset_20/uvl/model_20100824_837146809.uvl,22,14,0.363636,0,1,0,3,0,5,FALSE
dataset_20/uvl/model_20100829_787258873.uvl,dataset_20/uvl/model_20100829_787258873.uvl,57,44,0.22807,0,19,0,13,0,0,FALSE
dataset_20/uvl/model_20100830_561967343.uvl,dataset_20/uvl/model_20100830_561967343.uvl,32,8,0.75,0,0,0,24,0,0,FALSE
dataset_20/uvl/model_20100831_1378118837.uvl,dataset_20/uvl/model_20100831_1378118837.uvl,35,15,0.571429,0,16,0,20,0,0,FALSE
dataset_20/uvl/model_20100904_226530663.uvl,dataset_20/uvl/model_20100904_226530663.uvl,38,24,0.368421,0,3,0,13,0,1,FALSE
dataset_20/uvl/model_20100904_330653656.uvl,dataset_20/uvl/model_20100904_330653656.uvl,10,6,0.4,0,1,0,4,0,0,FALSE
dataset_20/uvl/model_20100927_1382418986.uvl,dataset_20/uvl/model_20100927_1382418986.uvl,10,8,0.2,2,2,0,0,0,2,FALSE
dataset_20/uvl/model_20101020_1809093990.uvl,dataset_20/uvl/model_20101020_1809093990.uvl,20,2,0.9,0,0,0,12,0,6,FALSE
dataset_20/uvl/model_20101024_1938793748.uvl,dataset_20/uvl/model_20101024_1938793748.uvl,29,29,0,3,3,0,0,0,0,FALSE
dataset_20/uvl/model_20101104_260803083.uvl,dataset_20/uvl/model_20101104_260803083.uvl,11,8,0.272727,0,4,0,2,0,1,FALSE
dataset_20/uvl/model_20101109_1698100628.uvl,dataset_20/uvl/model_20101109_1698100628.uvl,15,13,0.133333,0,9,0,2,0,0,FALSE
dataset_20/uvl/model_20101110_1749898936.uvl,dataset_20/uvl/model_20101110_1749898936.uvl,19,10,0.473684,4,8,-1,4,0,5,FALSE
dataset_20/uvl/model_20101111_156018899.uvl,dataset_20/uvl/model_20101111_156018899.uvl,12,8,0.333333,0,1,0,3,0,1,FALSE
dataset_20/uvl/model_20101111_1790887308.uvl,dataset_20/uvl/model_20101111_1790887308.uvl,10,8,0.2,2,2,0,2,0,0,FALSE
dataset_20/uvl/model_20101112_864228137.uvl,dataset_20/uvl/model_20101112_864228137.uvl,137,96,0.29927,1,1,0,6,0,35,FALSE
dataset_20/uvl/model_20101115_2000504462.uvl,dataset_20/uvl/model_20101115_2000504462.uvl,72,55,0.236111,0,0,0,0,0,17,FALSE
dataset_20/uvl/model_20101116_1022976130.uvl,dataset_20/uvl/model_20101116_1022976130.uvl,34,29,0.147059,0,2,0,2,0,3,FALSE
dataset_20/uvl/model_20101117_1571856147.uvl,dataset_20/uvl/model_20101117_1571856147.uvl,10,7,0.3,0,1,0,3,0,0,FALSE
dataset_20/uvl/model_20101117_2128796258.uvl,dataset_20/uvl/model_20101117_2128796258.uvl,72,48,0.333333,21,42,-1,14,0,10,FALSE
dataset_20/uvl/model_20101119_1472596180.uvl,dataset_20/uvl/model_20101119_1472596180.uvl,25,17,0.32,2,4,-1,7,0,1,FALSE
dataset_20/uvl/model_20101120_2091447559.uvl,dataset_20/uvl/model_20101120_2091447559.uvl,20,3,0.85,0,0,0,15,0,2,FALSE
dataset_20/uvl/model_20101123_920943759.uvl,dataset_20/uvl/model_20101123_920943759.uvl,15,7,0.533333,0,1,0,7,0,1,FALSE
dataset_20/uvl/model_20101124_661702924.uvl,dataset_20/uvl/model_20101124_661702924.uvl,15,10,0.333333,3,15,-4,4,0,1,FALSE
dataset_20/uvl/model_20101208_1056693380.uvl,dataset_20/uvl/model_20101208_1056693380.uvl,25,2,0.92,0,0,0,20,0,3,FALSE
dataset_20/uvl/model_20110116_381192414.uvl,dataset_20/uvl/model_20110116_381192414.uvl,60,46,0.233333,2,1,0.5,6,0,8,TRUE
dataset_20/uvl/model_20110124_2116036381.uvl,dataset_20/uvl/model_20110124_2116036381.uvl,18,10,0.444444,1,1,0,4,0,4,FALSE
dataset_20/uvl/model_20110127_1318390760.uvl,dataset_20/uvl/model_20110127_1318390760.uvl,13,8,0.384615,0,5,0,5,0,0,FALSE
dataset_20/uvl/model_20110130_639381749.uvl,dataset_20/uvl/model_20110130_639381749.uvl,12,7,0.416667,0,0,0,5,0,0,FALSE
dataset_20/uvl/model_20110203_1382675896.uvl,dataset_20/uvl/model_20110203_1382675896.uvl,14,7,0.5,0,0,0,7,0,0,FALSE
dataset_20/uvl/model_20110203_2097159983.uvl,dataset_20/uvl/model_20110203_2097159983.uvl,18,11,0.388889,0,2,0,7,0,0,FALSE
dataset_20/uvl/model_20110207_906076676.uvl,dataset_20/uvl/model_20110207_906076676.uvl,12,7,0.416667,0,8,0,5,0,0,FALSE
dataset_20/uvl/model_20110214_751339643.uvl,dataset_20/uvl/model_20110214_751339643.uvl,56,8,0.857143,84,0,1,30,18,0,TRUE
dataset_20/uvl/model_20110216_1027109687.uvl,dataset_20/uvl/model_20110216_1027109687.uvl,12,12,0,4,4,0,0,0,0,FALSE
dataset_20/uvl/model_20110216_608697455.uvl,dataset_20/uvl/model_20110216_608697455.uvl,14,13,0.071429,4,4,0,1,0,0,FALSE
dataset_20/uvl/model_20110222_2078967171.uvl,dataset_20/uvl/model_20110222_2078967171.uvl,48,42,0.125,5,5,0,3,0,3,FALSE
dataset_20/uvl/model_20110301_216655728.uvl,dataset_20/uvl/model_20110301_216655728.uvl,10,2,0.8,0,0,0,8,0,0,FALSE
dataset_20/uvl/model_20110306_314567479.uvl,dataset_20/uvl/model_20110306_314567479.uvl,14,9,0.357143,0,0,0,5,0,0,FALSE
dataset_20/uvl/model_20110310_1849309646.uvl,dataset_20/uvl/model_20110310_1849309646.uvl,23,16,0.304348,0,8,0,5,0,2,FALSE
dataset_20/uvl/model_20110318_225131257.uvl,dataset_20/uvl/model_20110318_225131257.uvl,15,3,0.8,4,0,1,6,0,6,TRUE
dataset_20/uvl/model_20110323_789959080.uvl,dataset_20/uvl/model_20110323_789959080.uvl,15,12,0.2,0,0,0,3,0,0,FALSE
dataset_20/uvl/model_20110328_1177934440.uvl,dataset_20/uvl/model_20110328_1177934440.uvl,18,5,0.722222,3,3,0,12,0,1,FALSE
dataset_20/uvl/model_20110329_10104623.uvl,dataset_20/uvl/model_20110329_10104623.uvl,41,37,0.097561,5,13,-1.6,4,0,0,FALSE
dataset_20/uvl/model_20110330_919429247.uvl,dataset_20/uvl/model_20110330_919429247.uvl,25,18,0.28,2,6,-2,6,0,1,FALSE
dataset_20/uvl/model_20110401_868452735.uvl,dataset_20/uvl/model_20110401_868452735.uvl,14,9,0.357143,0,4,0,3,0,2,FALSE
dataset_20/uvl/model_20110406_1047532859.uvl,dataset_20/uvl/model_20110406_1047532859.uvl,29,26,0.103448,3,4,-0.333333,2,0,1,FALSE
dataset_20/uvl/model_20110406_353034837.uvl,dataset_20/uvl/model_20110406_353034837.uvl,40,33,0.175,0,15,0,5,0,2,FALSE
dataset_20/uvl/model_20110406_656545830.uvl,dataset_20/uvl/model_20110406_656545830.uvl,17,8,0.529412,0,2,0,8,0,1,FALSE
dataset_20/uvl/model_20110407_1283128166.uvl,dataset_20/uvl/model_20110407_1283128166.uvl,51,38,0.254902,1,5,-4,9,0,4,FALSE
dataset_20/uvl/model_20110428_1131293346.uvl,dataset_20/uvl/model_20110428_1131293346.uvl,13,5,0.615385,0,0,0,7,0,1,FALSE
dataset_20/uvl/model_20110428_553405269.uvl,dataset_20/uvl/model_20110428_553405269.uvl,37,13,0.648649,4,14,-2.5,14,0,10,FALSE
dataset_20/uvl/model_20110507_674768061.uvl,dataset_20/uvl/model_20110507_674768061.uvl,40,28,0.3,17,18,-0.058824,6,0,6,FALSE
dataset_20/uvl/model_20110516_1331478109.uvl,dataset_20/uvl/model_20110516_1331478109.uvl,88,46,0.477273,59,53,0.101695,42,0,0,TRUE
dataset_20/uvl/model_20110519_1142211980.uvl,dataset_20/uvl/model_20110519_1142211980.uvl,14,8,0.428571,0,5,0,6,0,0,FALSE
dataset_20/uvl/model_20110519_503436691.uvl,dataset_20/uvl/model_20110519_503436691.uvl,11,9,0.181818,0,1,0,1,0,1,FALSE
dataset_20/uvl/model_20110525_1619420630.uvl,dataset_20/uvl/model_20110525_1619420630.uvl,45,27,0.4,5,17,-2.4,14,0,4,FALSE
dataset_20/uvl/model_20110525_564104612.uvl,dataset_20/uvl/model_20110525_564104612.uvl,27,20,0.259259,6,6,0,6,0,1,FALSE
dataset_20/uvl/model_20110525_928187171.uvl,dataset_20/uvl/model_20110525_928187171.uvl,14,5,0.642857,0,0,0,9,0,0,FALSE
dataset_20/uvl/model_20110527_1847306763.uvl,dataset_20/uvl/model_20110527_1847306763.uvl,63,43,0.31746,46,26,0.434783,17,0,3,TRUE
dataset_20/uvl/model_20110601_1103941862.uvl,dataset_20/uvl/model_20110601_1103941862.uvl,12,8,0.333333,2,2,0,4,0,0,FALSE
dataset_20/uvl/model_20110605_1465859222.uvl,dataset_20/uvl/model_20110605_1465859222.uvl,17,8,0.529412,0,1,0,9,0,0,FALSE
dataset_20/uvl/model_20110622_260389190.uvl,dataset_20/uvl/model_20110622_260389190.uvl,12,6,0.5,0,1,0,4,0,2,FALSE
dataset_20/uvl/model_20110704_328391695.uvl,dataset_20/uvl/model_20110704_328391695.uvl,172,121,0.296512,0,59,0,49,0,2,FALSE
dataset_20/uvl/model_20110704_555218409.uvl,dataset_20/uvl/model_20110704_555218409.uvl,11,2,0.818182,0,0,0,9,0,0,FALSE
dataset_20/uvl/model_20110712_1373520081.uvl,dataset_20/uvl/model_20110712_1373520081.uvl,66,30,0.545455,2,5,-1.5,33,0,3,FALSE
dataset_20/uvl/model_20110715_945252556.uvl,dataset_20/uvl/model_20110715_945252556.uvl,32,30,0.0625,0,1,0,2,0,0,FALSE
dataset_20/uvl/model_20110718_866950306.uvl,dataset_20/uvl/model_20110718_866950306.uvl,20,7,0.65,0,1,0,12,0,1,FALSE
dataset_20/uvl/model_20110722_419227445.uvl,dataset_20/uvl/model_20110722_419227445.uvl,25,9,0.64,0,0,0,9,0,7,FALSE
dataset_20/uvl/model_20110725_452580960.uvl,dataset_20/uvl/model_20110725_452580960.uvl,34,13,0.617647,0,11,0,0,0,21,FALSE
dataset_20/uvl/model_20110809_1799855518.uvl,dataset_20/uvl/model_20110809_1799855518.uvl,25,22,0.12,0,29,0,3,0,0,FALSE
dataset_20/uvl/model_20110823_1386366267.uvl,dataset_20/uvl/model_20110823_1386366267.uvl,15,10,0.333333,1,1,0,3,0,2,FALSE
dataset_20/uvl/model_20110823_553386338.uvl,dataset_20/uvl/model_20110823_553386338.uvl,21,8,0.619048,0,0,0,13,0,0,FALSE
dataset_20/uvl/model_20110826_1180494500.uvl,dataset_20/uvl/model_20110826_1180494500.uvl,24,5,0.791667,0,0,0,19,0,0,FALSE
dataset_20/uvl/model_20110826_1555954181.uvl,dataset_20/uvl/model_20110826_1555954181.uvl,24,5,0.791667,0,0,0,19,0,0,FALSE
dataset_20/uvl/model_20110826_1574631601.uvl,dataset_20/uvl/model_20110826_1574631601.uvl,52,21,0.596154,4,0,1,31,0,0,TRUE
dataset_20/uvl/model_20110826_1744501275.uvl,dataset_20/uvl/model_20110826_1744501275.uvl,24,5,0.791667,0,0,0,19,0,0,FALSE
dataset_20/uvl/model_20110826_252647654.uvl,dataset_20/uvl/model_20110826_252647654.uvl,24,5,0.791667,0,0,0,19,0,0,FALSE
dataset_20/uvl/model_20110826_819334011.uvl,dataset_20/uvl/model_20110826_819334011.uvl,24,5,0.791667,0,0,0,19,0,0,FALSE
dataset_20/uvl/model_20110915_1159959623.uvl,dataset_20/uvl/model_20110915_1159959623.uvl,10,9,0.1,2,7,-2.5,1,0,0,FALSE
dataset_20/uvl/model_20110919_127780100.uvl,dataset_20/uvl/model_20110919_127780100.uvl,37,36,0.027027,6,9,-0.5,1,0,0,FALSE
dataset_20/uvl/model_20110925_62365838.uvl,dataset_20/uvl/model_20110925_62365838.uvl,23,10,0.565217,0,2,0,9,0,4,FALSE
dataset_20/uvl/model_20110926_400852996.uvl,dataset_20/uvl/model_20110926_400852996.uvl,36,8,0.777778,1,2,-1,17,0,11,FALSE
dataset_20/uvl/model_20110926_608554224.uvl,dataset_20/uvl/model_20110926_608554224.uvl,30,6,0.8,2,1,0.5,11,0,13,TRUE
dataset_20/uvl/model_20111020_455520177.uvl,dataset_20/uvl/model_20111020_455520177.uvl,11,8,0.272727,0,1,0,3,0,0,FALSE
dataset_20/uvl/model_20111025_1408959776.uvl,dataset_20/uvl/model_20111025_1408959776.uvl,13,7,0.461538,0,0,0,6,0,0,FALSE
dataset_20/uvl/model_20111027_1380540076.uvl,dataset_20/uvl/model_20111027_1380540076.uvl,10,6,0.4,0,0,0,4,0,0,FALSE
dataset_20/uvl/model_20111027_668940289.uvl,dataset_20/uvl/model_20111027_668940289.uvl,29,11,0.62069,4,6,-0.5,8,0,10,FALSE
dataset_20/uvl/model_20111027_966072474.uvl,dataset_20/uvl/model_20111027_966072474.uvl,10,5,0.5,0,0,0,5,0,0,FALSE
dataset_20/uvl/model_20111029_1654942500.uvl,dataset_20/uvl/model_20111029_1654942500.uvl,37,36,0.027027,6,9,-0.5,1,0,0,FALSE
dataset_20/uvl/model_20111031_386778867.uvl,dataset_20/uvl/model_20111031_386778867.uvl,25,22,0.12,0,29,0,3,0,0,FALSE
dataset_20/uvl/model_20111111_1026730216.uvl,dataset_20/uvl/model_20111111_1026730216.uvl,37,18,0.513514,0,14,0,16,0,3,FALSE
dataset_20/uvl/model_20111129_1932950448.uvl,dataset_20/uvl/model_20111129_1932950448.uvl,13,8,0.384615,0,0,0,5,0,0,FALSE
