input_file,original_features,simplified_features,feature_reduction_ratio,original_constraints,simplified_constraints,constraint_reduction_ratio
dataset_20/uvl/model_20150209_1183047948.uvl,29,22,0.241379,19,45,-1.368421
dataset_20/uvl/model_20150212_1516383976.uvl,12,8,0.333333,1,9,-8
dataset_20/uvl/model_20150222_409043024.uvl,52,31,0.403846,2,29,-13.5
dataset_20/uvl/model_20150301_300492477.uvl,33,26,0.212121,2,6,-2
dataset_20/uvl/model_20150305_837831991.uvl,39,20,0.487179,3,14,-3.666667
dataset_20/uvl/model_20150309_1544990511.uvl,39,7,0.820513,3,0,1
dataset_20/uvl/model_20150411_1378086632.uvl,15,11,0.266667,1,9,-8
dataset_20/uvl/model_20150427_2103265175.uvl,56,36,0.357143,3,8,-1.666667
dataset_20/uvl/model_20150509_1341412445.uvl,10,9,0.1,1,6,-5
dataset_20/uvl/model_20150523_372542452.uvl,47,33,0.297872,5,52,-9.4
dataset_20/uvl/model_20150621_1174641946.uvl,36,11,0.694444,3,11,-2.666667
dataset_20/uvl/model_20150625_1923523971.uvl,16,13,0.1875,1,9,-8
dataset_20/uvl/model_20150713_1448325014.uvl,32,18,0.4375,4,16,-3
dataset_20/uvl/model_20150715_75174593.uvl,17,12,0.294118,1,6,-5
dataset_20/uvl/model_20151102_2085331426.uvl,51,32,0.372549,4,25,-5.25
dataset_20/uvl/model_20151111_460133826.uvl,40,15,0.625,1,4,-3
dataset_20/uvl/model_20151119_825568988.uvl,19,12,0.368421,1,0,1
dataset_20/uvl/model_20151202_1529785580.uvl,40,25,0.375,3,9,-2
dataset_20/uvl/model_20160103_2012826523.uvl,94,80,0.148936,2,70,-34
dataset_20/uvl/model_20160122_407616496.uvl,29,20,0.310345,2,13,-5.5
dataset_20/uvl/model_20160125_1378351345.uvl,38,24,0.368421,7,93,-12.285714
dataset_20/uvl/model_20160225_2040495200.uvl,50,39,0.22,3,72,-23
dataset_20/uvl/model_20160225_419189676.uvl,47,38,0.191489,5,13,-1.6
dataset_20/uvl/model_20160227_1389842098.uvl,48,39,0.1875,4,12,-2
dataset_20/uvl/model_20160229_1734203468.uvl,48,38,0.208333,4,60,-14
dataset_20/uvl/model_20160229_490224198.uvl,49,36,0.265306,6,36,-5
dataset_20/uvl/model_20160229_707006027.uvl,13,2,0.846154,1,0,1
dataset_20/uvl/model_20160303_1645051071.uvl,17,12,0.294118,2,7,-2.5
dataset_20/uvl/model_20160304_165509543.uvl,43,26,0.395349,6,24,-3
dataset_20/uvl/model_20160304_168615633.uvl,29,24,0.172414,5,13,-1.6
dataset_20/uvl/model_20160308_79396455.uvl,41,34,0.170732,7,22,-2.142857
dataset_20/uvl/model_20160329_1368375444.uvl,33,14,0.575758,7,26,-2.714286
dataset_20/uvl/model_20160330_1233914245.uvl,12,11,0.083333,3,8,-1.666667
dataset_20/uvl/model_20160330_149443721.uvl,30,9,0.7,14,0,1
dataset_20/uvl/model_20160503_1174916821.uvl,42,16,0.619048,2,5,-1.5
dataset_20/uvl/model_20160519_1235536625.uvl,34,24,0.294118,16,203,-11.6875
dataset_20/uvl/model_20160519_1444507509.uvl,41,28,0.317073,19,92,-3.842105
dataset_20/uvl/model_20160531_486171149.uvl,35,22,0.371429,17,206,-11.117647
dataset_20/uvl/model_20160623_1415871890.uvl,13,11,0.153846,1,12,-11
dataset_20/uvl/model_20160629_1032137585.uvl,16,13,0.1875,2,13,-5.5
dataset_20/uvl/model_20160726_1855902901.uvl,12,1,0.916667,1,0,1
dataset_20/uvl/model_20160812_1476754989.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20160821_1946133193.uvl,14,6,0.571429,1,3,-2
dataset_20/uvl/model_20160822_713171625.uvl,28,22,0.214286,3,8,-1.666667
dataset_20/uvl/model_20160911_493856736.uvl,45,35,0.222222,6,54,-8
dataset_20/uvl/model_20160913_269001380.uvl,49,37,0.244898,17,61,-2.588235
dataset_20/uvl/model_20160913_482611615.uvl,48,29,0.395833,12,30,-1.5
dataset_20/uvl/model_20160913_600398973.uvl,48,36,0.25,6,37,-5.166667
dataset_20/uvl/model_20160919_422339066.uvl,50,31,0.38,5,14,-1.8
dataset_20/uvl/model_20161118_1167269407.uvl,66,31,0.530303,13,279,-20.461538
dataset_20/uvl/model_20161122_1255346120.uvl,15,11,0.266667,1,13,-12
dataset_20/uvl/model_20161125_1777261352.uvl,33,20,0.393939,3,64,-20.333333
dataset_20/uvl/model_20161127_1823059506.uvl,69,62,0.101449,246,723,-1.939024
dataset_20/uvl/model_20170221_1848353506.uvl,210,140,0.333333,38,748,-18.684211
dataset_20/uvl/model_20170228_2078125436.uvl,34,28,0.176471,1,11,-10
dataset_20/uvl/model_20170301_235251685.uvl,14,11,0.214286,1,8,-7
dataset_20/uvl/model_20170310_195700687.uvl,47,36,0.234043,20,56,-1.8
dataset_20/uvl/model_20170310_2069806245.uvl,49,38,0.22449,10,53,-4.3
dataset_20/uvl/model_20170310_906013336.uvl,47,35,0.255319,9,61,-5.777778
dataset_20/uvl/model_20170311_1316290182.uvl,48,36,0.25,23,60,-1.608696
dataset_20/uvl/model_20170312_968402737.uvl,49,38,0.22449,7,55,-6.857143
dataset_20/uvl/model_20170313_143405764.uvl,48,37,0.229167,21,50,-1.380952
dataset_20/uvl/model_20170316_1293936491.uvl,48,4,0.916667,5,0,1
dataset_20/uvl/model_20170317_1165725.uvl,50,4,0.92,7,0,1
dataset_20/uvl/model_20170320_149190356.uvl,50,4,0.92,6,0,1
dataset_20/uvl/model_20170321_1279222212.uvl,10,3,0.7,2,0,1
dataset_20/uvl/model_20170321_1774846112.uvl,179,115,0.357542,26,153,-4.884615
dataset_20/uvl/model_20170328_418838667.uvl,261,153,0.413793,72,164,-1.277778
dataset_20/uvl/model_20170402_1978825740.uvl,263,163,0.380228,84,325,-2.869048
dataset_20/uvl/model_20170404_1821671055.uvl,13,9,0.307692,3,9,-2
dataset_20/uvl/model_20170424_781699396.uvl,142,84,0.408451,13,193,-13.846154
dataset_20/uvl/model_20170504_370000031.uvl,36,26,0.277778,5,16,-2.2
dataset_20/uvl/model_20170505_1428478521.uvl,24,21,0.125,2,5,-1.5
dataset_20/uvl/model_20170505_1995894898.uvl,32,17,0.46875,3,11,-2.666667
